OBJECTID,Station Identification,Observation Date/Time,Station Name,Country Name,Station Elevation (Meters),Air Temperature (°F),Dew Point Temperature (°F),Relative Humidity (%),Wind Origin (Degrees),Wind Speed (km/h),Wind Gust (km/h),Wind Chill (°F),Horizontal Visibility (Meters),Altimeter Pressure (Millibars),Sky Conditions,Weather Conditions,Remarks,Heat Feels Like (°F),Location Latitude (DD),Location Longitude (DD),x,y
2094,KMZZ,11/10/2019 1:55:00 AM,Marion Muni,"Indiana, United States Of America",262,33.6,29.3,84,0,0,0,56.6,16000,1014.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.48,-85.68,-85.6800000002903,40.480000000109
2095,KMWO,11/10/2019 1:55:00 AM,Middletown/Hook,"Ohio, United States Of America",198,34.3,25.7,70,240,7,0,30.2,16000,1017.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,39.53,-84.4,-84.4000000004286,39.5299999999324
2096,KMWA,11/10/2019 1:55:00 AM,Marion Regional,"Illinois, United States Of America",144,43.2,35.8,75,210,13,0,38.4,16000,1018.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,37.77,-89.02,-89.0199999998454,37.7699999997841
2097,KMQS,11/10/2019 1:55:00 AM,Coatesville,"Pennsylvania, United States Of America",201,28.4,19.4,69,0,0,0,53.4,16000,1022,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,39.98,-75.87,-75.8700000001288,39.9799999999838
2098,KMQB,11/10/2019 1:55:00 AM,Macomb Muni,"Illinois, United States Of America",215,42.8,33.3,69,220,11,0,38.5,16000,1014.2,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.52,-90.65,-90.6499999999079,40.5200000001125
2099,KMPZ,11/10/2019 1:55:00 AM,Mt Pleasant,"Iowa, United States Of America",224,41,32,70,0,0,0,61.2,16000,1013.2,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.95,-91.52,-91.5199999999964,40.9499999997939
2100,KMLE,11/10/2019 1:55:00 AM,Omaha/Millard,"Nebraska, United States Of America",320,48,38.5,69,0,0,0,65.6,16000,1010.5,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,41.2,-96.12,-96.1199999995557,41.2000000003024
2101,KMEZ,11/10/2019 1:55:00 AM,Mena Intermtn,"Arkansas, United States Of America",329,50,42.8,76,240,6,0,49.3,16000,1020.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.55,-94.2,-94.1999999997631,34.54999999966
2102,KMDQ,11/10/2019 1:55:00 AM,Huntsville/Madis,"Alabama, United States Of America",230,39.4,34,81,0,0,0,60.2,16000,1021.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.87,-86.55,-86.5500000003788,34.8699999999017
2103,KLZZ,11/10/2019 1:55:00 AM,Lampasas,"Texas, United States Of America",371,56.5,50,79,190,6,0,,16000,1021,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.1,-98.2,-98.2000000000048,31.0999999999728
2104,KLXN,11/10/2019 1:55:00 AM,Lexington,"Nebraska, United States Of America",734,46.6,25.7,44,360,6,0,45.4,16000,1013.5,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.78,-99.77,-99.7699999995966,40.7799999998273
2105,KLWB,11/10/2019 1:55:00 AM,Lewisburg/Greenb,"West Virginia, United States Of America",702,31.3,24.4,75,0,0,0,55.2,16000,1019.3,Scattered Clouds at 1500 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,37.87,-80.4,-80.4000000001869,37.8700000002565
2106,KLOT,11/10/2019 1:55:00 AM,Romeoville/Chi,"Illinois, United States Of America",205,42.8,32,65,240,9,0,39.2,16000,1012.9,"Broken Clouds at 3000 meters AGL, Broken Clouds at 3700 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,41.6,-88.1,-88.1000000001132,41.6000000002277
2107,KLOM,11/10/2019 1:55:00 AM,Philly Wings F,"Pennsylvania, United States Of America",92,27.5,22.1,80,0,0,0,52.8,16000,1022.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.13,-75.27,-75.2699999999129,40.129999999762
2108,KLNN,11/10/2019 1:55:00 AM,Willoughby,"Ohio, United States Of America",191,37,14.7,40,210,13,0,30.9,16000,1016.2,Overcast Cloud Deck at 3400 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,41.67,-81.37,-81.3699999995628,41.6700000000521
2109,KLHB,11/10/2019 1:55:00 AM,Hearne Muni,"Texas, United States Of America",87,51.8,46.2,81,0,0,0,,16000,1022.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.87,-96.62,-96.6199999995859,30.8700000000724
2110,KLGC,11/10/2019 1:55:00 AM,La Grange,"Georgia, United States Of America",211,39.7,38.8,97,0,0,0,60.4,2000,1022.7,Obscured Sky,Mist,,,33,-85.07,-85.0700000001457,33.000000000046
2111,KLCQ,11/10/2019 1:55:00 AM,Lake City,"Florida, United States Of America",61,46.4,44.6,93,0,0,0,64.6,16000,1022.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.18,-82.58,-82.5799999999233,30.1800000003211
2112,KLCG,11/10/2019 1:55:00 AM,Wayne Muni,"Nebraska, United States Of America",436,38.7,29.3,69,0,0,0,59.8,16000,1011.2,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,42.25,-96.98,-96.9799999997155,42.2499999999551
2113,KLAM,11/10/2019 1:55:00 AM,Los Alamos,"New Mexico, United States Of America",2179,50,16.7,26,0,0,0,66.8,16000,1025,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,35.87,-106.27,-106.269999999989,35.869999999999
2114,KJZP,11/10/2019 1:55:00 AM,Jasper,"Georgia, United States Of America",468,40.6,32.2,72,0,0,0,61,16000,1023.4,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.45,-84.47,-84.4699999999298,34.4499999996875
2115,KJOT,11/10/2019 1:55:00 AM,Joliet,"Illinois, United States Of America",177,44.8,32,61,0,0,0,63.6,16000,1012.5,Scattered Clouds at 3400 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,41.52,-88.18,-88.1800000004414,41.5200000002442
2116,KJKA,11/10/2019 1:55:00 AM,Gulf Shores,"Alabama, United States Of America",5,52.9,49.6,89,0,0,0,,16000,1022.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.28,-87.67,-87.6699999995841,30.2800000001657
2117,KZPH,11/10/2019 1:55:00 AM,Zephyrhills,"Florida, United States Of America",26,60.3,57.4,90,360,11,0,,16000,1020.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,28.23,-82.15,-82.1500000002926,28.2299999999636
2118,KXLL,11/10/2019 1:55:00 AM,Allentown Queen,"Pennsylvania, United States Of America",122,32,19.4,59,230,6,0,28.7,16000,1022.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.57,-75.48,-75.480000000213,40.569999999968
2119,KXBP,11/10/2019 1:55:00 AM,Bridgeport,"Texas, United States Of America",260,59.4,50.7,73,160,11,0,,16000,1020.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,33.18,-97.83,-97.8299999999465,33.1799999997612
2120,KW99,11/10/2019 1:55:00 AM,Petersburg,"West Virginia, United States Of America",293,31.1,24.8,77,0,0,0,55.1,16000,1018.9,Broken Clouds at 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,39,-79.15,-79.1500000001114,39.0000000001389
2121,KW22,11/10/2019 1:55:00 AM,Buckhannon,"West Virginia, United States Of America",499,41,17.6,38,0,0,0,61.2,16000,1017.6,"Few Clouds at 1400 meters AGL, Broken Clouds at 1700 meters AGL, Overcast Cloud Deck at 2900 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,39,-80.27,-80.270000000215,39.0000000001389
2122,KVUJ,11/10/2019 1:55:00 AM,Albemarle Stanly,"North Carolina, United States Of America",186,31.1,29.7,94,0,0,0,55.1,16000,1024.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,35.42,-80.15,-80.1500000001718,35.4199999998325
2123,KVDI,11/10/2019 1:55:00 AM,Vidalia Muni,"Georgia, United States Of America",84,42.8,35.6,75,0,0,0,62.3,16000,1023,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,32.2,-82.37,-82.3699999996232,32.1999999999789
2124,KTYQ,11/10/2019 1:55:00 AM,Indianapolis Exc,"Indiana, United States Of America",281,38.3,29.1,69,200,15,0,31.9,16000,1015.2,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.03,-86.25,-86.2499999998217,40.0299999999629
2125,KTYL,11/10/2019 1:55:00 AM,,,1745,48.2,32,53,280,7,0,46.3,16000,1024.4,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.45,-110.12,-110.120000000402,34.4499999996875
2126,KTXW,11/10/2019 1:55:00 AM,,,21,63,54.5,74,100,9,0,,16000,1022.7,Broken Clouds at 3400 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,26.18,-97.97,-97.9699999998472,26.1799999996856
2127,KTVI,11/10/2019 1:55:00 AM,Thomasville,"Georgia, United States Of America",80,44.6,41,87,0,0,0,63.4,16000,1023,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.9,-83.88,-83.8799999996426,30.9000000003787
2128,KTRK,11/10/2019 1:55:00 AM,Truckee Tahoe,"California, United States Of America",1798,44.6,19.4,36,160,9,0,41.4,16000,1024.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,39.32,-120.12,-120.120000000108,39.3200000000142
2129,KTMT,11/10/2019 1:55:00 AM,Austin,"Nevada, United States Of America",1748,42.1,1.2,18,140,6,0,40.2,16000,1024.4,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,39.47,-117.2,-117.200000000255,39.470000000315
2130,KTMK,11/10/2019 1:55:00 AM,Tillamook,"Oregon, United States Of America",11,51.8,51.8,100,0,0,0,,4000,1023.4,"Broken Clouds at 180 meters AGL, Overcast Cloud Deck at 460 meters AGL",Light Drizzle,Hourly Precipitation Amount: 0.0 in,,45.42,-123.82,-123.819999999792,45.4200000002515
2131,KTIP,11/10/2019 1:55:00 AM,Rantoul,"Illinois, United States Of America",225,42.4,32.9,69,220,9,0,38.8,16000,1014.5,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.28,-88.15,-88.1499999997569,40.2800000000241
2132,KTIF,11/10/2019 1:55:00 AM,Thedford/Thomas,"Nebraska, United States Of America",892,48.6,26.1,41,280,9,0,46.1,16000,1015.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,41.97,-100.57,-100.570000000184,41.9699999998732
2133,KTEX,11/10/2019 1:55:00 AM,Telluride Region,"Colorado, United States Of America",2769,42.8,17.6,36,120,9,0,39.2,16000,1029.1,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,37.95,-107.9,-107.900000000052,37.9500000000497
2134,KTAZ,11/10/2019 1:55:00 AM,Taylorville,"Illinois, United States Of America",190,41.5,33.6,73,0,0,0,61.5,16000,1015.2,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,39.53,-89.33,-89.3300000003312,39.5299999999324
2135,KT82,11/10/2019 1:55:00 AM,Fredericksburg,"Texas, United States Of America",517,57.6,49.1,73,200,9,0,,16000,1022,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.25,-98.92,-98.9200000002639,30.2500000000065
2136,KT35,11/10/2019 1:55:00 AM,Cameron,"Texas, United States Of America",123,55.2,46.4,72,170,7,0,,16000,1022,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.88,-96.97,-96.9699999997868,30.879999999667
2137,KSOA,11/10/2019 1:55:00 AM,Sonora,"Texas, United States Of America",652,59,53.6,82,0,0,0,,16000,1023,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.58,-100.65,-100.649999999614,30.5800000003115
2138,KSNL,11/10/2019 1:55:00 AM,Shawnee,"Oklahoma, United States Of America",327,55.2,47.8,76,200,15,0,,16000,1017.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,35.35,-96.95,-96.9499999999293,35.3499999999677
2139,KSNK,11/10/2019 1:55:00 AM,Snyder/Winston,"Texas, United States Of America",741,58.3,48.6,70,240,6,0,,16000,1020.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,32.7,-100.95,-100.950000000171,32.69999999994
2140,KSME,11/10/2019 1:55:00 AM,Somerset,"Kentucky, United States Of America",283,42.8,26.6,52,0,0,0,62.3,16000,1020.3,Broken Clouds at 1200 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,37.05,-84.62,-84.6199999997592,37.0500000002986
2141,KSJS,11/10/2019 1:55:00 AM,Big Sandy Rgnl,"Kentucky, United States Of America",372,46.4,26.4,45,200,6,0,45.2,16000,1018.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,37.75,-82.63,-82.629999999567,37.7499999996773
2142,KSFY,11/10/2019 1:55:00 AM,Savanna/Tritown,"Illinois, United States Of America",188,37.4,32,81,0,0,0,59,16000,1012.2,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,42.05,-90.12,-90.1200000000915,42.0500000000153
2143,KSEP,11/10/2019 1:55:00 AM,Stephenville,"Texas, United States Of America",402,55.6,48.9,78,140,6,0,,16000,1021.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,32.22,-98.17,-98.1700000002186,32.2200000001663
2144,KSEF,11/10/2019 1:55:00 AM,Sebring,"Florida, United States Of America",19,65.5,60.8,85,360,13,0,,16000,1018.9,Overcast Cloud Deck at 1500 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,27.45,-81.35,-81.3499999997053,27.449999999801
2145,KSBS,11/10/2019 1:55:00 AM,Steamboat Spring,"Colorado, United States Of America",2096,40.6,20.3,44,0,0,0,61,16000,1024.4,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.52,-106.87,-106.870000000205,40.5200000001125
2146,KSAA,11/10/2019 1:55:00 AM,Saratoga,"Wyoming, United States Of America",2138,41,14,33,130,9,0,37.1,16000,1022.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,41.45,-106.83,-106.829999999592,41.4499999997726
2147,KRWV,11/10/2019 1:55:00 AM,Caldwell,"Texas, United States Of America",119,50.7,45.9,83,0,0,0,,16000,1022.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.52,-96.7,-96.6999999999142,30.519999999899
2148,KRQO,11/10/2019 1:55:00 AM,El Reno Muni,"Oklahoma, United States Of America",432,54.7,48.7,80,190,24,0,,16000,1017.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,35.47,-98,-97.9999999996334,35.4700000003097
2149,KRNV,11/10/2019 1:55:00 AM,Cleveland,"Mississippi, United States Of America",41,45.7,35.8,68,180,7,0,43.4,16000,1022,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,33.77,-90.75,-90.7500000000936,33.7700000003178
2150,KRNH,11/10/2019 1:55:00 AM,New Richmond Mun,"Wisconsin, United States Of America",304,32.5,32,98,330,17,0,24.2,11000,1012.5,Overcast Cloud Deck at 150 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,Hourly Precipitation Amount: 0.0 in,,45.15,-92.53,-92.5299999999856,45.150000000163
2151,KREG,11/10/2019 1:55:00 AM,Gonzales,"Louisiana, United States Of America",4,48.4,45.5,90,0,0,0,65.8,16000,1022.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.17,-90.93,-90.9299999997093,30.1700000002184
2152,KRCZ,11/10/2019 1:55:00 AM,Rockingham,"North Carolina, United States Of America",109,36.9,30.2,77,0,0,0,58.6,16000,1023.4,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.88,-79.77,-79.7700000001848,34.8800000000291
2153,KPVW,11/10/2019 1:55:00 AM,Plainview,"Texas, United States Of America",1028,51.4,38.3,61,200,13,0,,16000,1019.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.17,-101.72,-101.720000000074,34.1699999998135
2154,KPRG,11/10/2019 1:55:00 AM,Paris,"Illinois, United States Of America",199,42.8,33.3,69,200,13,0,37.9,16000,1015.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,39.7,-87.67,-87.6699999995841,39.6999999997044
2155,KPNT,11/10/2019 1:55:00 AM,Pontiac,"Illinois, United States Of America",201,44.8,32.2,61,230,7,0,42.3,16000,1013.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.92,-88.62,-88.6200000000009,40.919999999824
2156,KPMU,11/10/2019 1:55:00 AM,Panola,"Mississippi, United States Of America",67,39.2,35.6,87,0,0,0,60.1,16000,1021.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.37,-89.9,-89.8999999998626,34.3700000003676
2157,KPLU,11/10/2019 1:55:00 AM,Puyallup/Thun,"Washington, United States Of America",164,51.8,51.8,100,0,0,0,,2000,1023,Overcast Cloud Deck at 90 meters AGL,Mist,,,47.1,-122.28,-122.279999999987,47.1000000000624
2158,KPEQ,11/10/2019 1:55:00 AM,Pecos City,"Texas, United States Of America",797,59,51.8,77,140,6,0,,16000,1020.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.38,-103.52,-103.519999999823,31.3800000002152
2159,KPBX,11/10/2019 1:55:00 AM,Pikeville,"Kentucky, United States Of America",449,44.6,27.5,51,170,7,0,42.1,16000,1018.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,37.57,-82.57,-82.5699999999946,37.5699999997155
2160,KOZS,11/10/2019 1:55:00 AM,Camdenton,"Missouri, United States Of America",324,53.6,39.2,58,190,7,0,,16000,1016.2,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,37.97,-92.68,-92.679999999815,37.9699999997548
2161,KOPN,11/10/2019 1:55:00 AM,Thomaston Upson,"Georgia, United States Of America",243,37.4,33.8,87,0,0,0,59,16000,1023.4,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,32.95,-84.27,-84.2699999995584,32.9500000002974
2162,KOPL,11/10/2019 1:55:00 AM,Opelousas,"Louisiana, United States Of America",23,44.4,41.4,89,100,9,0,41.1,16000,1023,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.55,-92.1,-92.1000000003549,30.5499999997949
2163,KJAQ,11/10/2019 1:55:00 AM,Jackson,"California, United States Of America",512,65.7,32.5,29,10,7,0,,16000,1018.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,38.37,-120.8,-120.799999999753,38.3700000003003
2164,KIKK,11/10/2019 1:55:00 AM,Kankakee,"Illinois, United States Of America",192,43.9,31.6,62,230,15,0,38.7,16000,1013.9,Overcast Cloud Deck at 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,41.07,-87.85,-87.8500000000981,41.0700000002233
2165,KIKG,11/10/2019 1:55:00 AM,Kingsville,"Texas, United States Of America",40,56.3,54,92,80,7,0,,16000,1023.4,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,27.55,-98.03,-98.0300000003179,27.5499999999471
2166,KHQG,11/10/2019 1:55:00 AM,Hugoton,"Kansas, United States Of America",956,47.5,21.6,36,210,19,0,42.4,16000,1015.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,37.17,-101.37,-101.369999999873,37.1699999997098
2167,KHCR,11/10/2019 1:55:00 AM,,,1706,35.6,17.6,47,0,0,0,57.9,16000,1022.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.48,-111.43,-111.43000000005,40.480000000109
2168,KGWB,11/10/2019 1:55:00 AM,Auburn Dekalb C,"Indiana, United States Of America",269,37.4,28.4,70,200,7,0,33.7,16000,1014.2,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,41.3,-85.07,-85.0700000001457,41.3000000002473
2169,KGGP,11/10/2019 1:55:00 AM,Logansport,"Indiana, United States Of America",225,37.4,32,81,210,13,0,31.4,16000,1014.5,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.72,-86.37,-86.3699999998649,40.7200000001659
2170,KGBG,11/10/2019 1:55:00 AM,Galesburg,"Illinois, United States Of America",233,43.9,32.9,65,230,7,0,41.3,16000,1013.5,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.93,-90.43,-90.429999999679,40.9299999998227
2171,KFWC,11/10/2019 1:55:00 AM,Fairfield,"Illinois, United States Of America",133,43,34.7,72,200,9,0,39.4,16000,1016.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,38.38,-88.42,-88.4199999996295,38.3800000000993
2172,KF44,11/10/2019 1:55:00 AM,Athens,"Texas, United States Of America",135,46.4,42.8,87,0,0,0,64.6,16000,1021.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,32.17,-95.83,-95.8299999998257,32.1700000001561
2173,KELA,11/10/2019 1:55:00 AM,Eagle Lake,"Texas, United States Of America",56,55.6,50.4,83,170,6,0,,16000,1022.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,29.6,-96.32,-96.3199999999271,29.5999999997019
2174,KEBG,11/10/2019 1:55:00 AM,Edinburg Intl,"Texas, United States Of America",24,61.2,53.6,76,100,9,0,,16000,1023,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,26.45,-98.13,-98.1299999996053,26.4499999997526
2175,KE11,11/10/2019 1:55:00 AM,Andrews,"Texas, United States Of America",967,55.2,46.9,74,200,7,0,,16000,1021,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,32.33,-102.53,-102.529999999692,32.3300000000025
2176,KDUB,11/10/2019 1:55:00 AM,Dubois Muni,"Wyoming, United States Of America",2224,41,14,33,320,20,0,33.8,16000,1021.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,43.55,-109.68,-109.679999999944,43.5500000002463
2177,KDNN,11/10/2019 1:55:00 AM,Dalton,"Georgia, United States Of America",216,41,35.6,81,0,0,0,61.2,16000,1023,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.72,-84.87,-84.8699999997743,34.7199999997088
2178,KDED,11/10/2019 1:55:00 AM,Deland,"Florida, United States Of America",24,59,53.6,82,340,13,0,,16000,1020.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,29.07,-81.28,-81.2800000002041,29.0700000000746
2179,KDCY,11/10/2019 1:55:00 AM,Daviess County,"Indiana, United States Of America",144,42.4,30.6,63,210,11,0,38.1,16000,1016.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,38.7,-87.13,-87.129999999839,38.6999999998246
2180,KDBN,11/10/2019 1:55:00 AM,Dublin,"Georgia, United States Of America",94,37.4,35.6,93,0,0,0,59,16000,1024,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,32.57,-82.98,-82.9799999997679,32.5700000001683
2181,KCOM,11/10/2019 1:55:00 AM,Coleman Muni,"Texas, United States Of America",517,56.5,50.9,82,0,0,0,,16000,1021,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.83,-99.4,-99.4000000004366,31.830000000333
2182,KCKF,11/10/2019 1:55:00 AM,Cordele,"Georgia, United States Of America",91,41.9,39.4,91,0,0,0,61.8,16000,1023.4,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.98,-83.77,-83.7700000004265,31.9800000001637
2183,KC29,11/10/2019 1:55:00 AM,Middleton,"Wisconsin, United States Of America",283,39.6,32.7,76,200,6,0,37.3,16000,1011.2,"Broken Clouds at 2700 meters AGL, Broken Clouds at 3400 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,43.12,-89.53,-89.5299999998043,43.1200000000732
2184,KBYL,11/10/2019 1:55:00 AM,Williamsburg,"Kentucky, United States Of America",359,41,32,70,0,0,0,61.2,16000,1020.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,36.8,-84.2,-84.2000000000572,36.8000000002684
2185,KBWP,11/10/2019 1:55:00 AM,Wahpeton,"North Dakota, United States Of America",295,30.2,28.4,93,350,13,0,22.6,11000,1015.9,,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,46.25,-96.62,-96.6199999995859,46.2500000002255
2186,KBPG,11/10/2019 1:55:00 AM,Big Spring,"Texas, United States Of America",784,53.8,49.8,86,140,11,0,,16000,1021.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,32.22,-101.52,-101.519999999702,32.2200000001663
2187,KBIJ,11/10/2019 1:55:00 AM,Blakely Early C,"Georgia, United States Of America",65,41,37.4,87,0,0,0,61.2,16000,1023,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.4,-84.9,-84.8999999995605,31.3999999998311
2188,KAJR,11/10/2019 1:55:00 AM,Cornelia,"Georgia, United States Of America",441,39.7,31.5,72,0,0,0,60.4,16000,1022.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.5,-83.55,-83.5500000001976,34.4999999996503
